

###################################################
################# Relatorio ArLis #################
###################################################

Numero de comparacoes para inserir arvore: 29329
Numero de comparacoes para remover arvore: 7813
Numero de comparacoes para percorrer arvore: 1366
Numero de comparacoes para buscar nivel da arvore: 0
Numero de comparacoes por palavra na lista: 1234


###################################################

[Comparacoes do nó] -> [insercoes] [remocoes] [percurso] [busca nivel]

[       de         ] -> [34]  [22]  [4]  [0]
[       na         ] -> [104]  [20]  [5]  [0]
[      anta,       ] -> [33]  [20]  [4]  [0]
[    estendido     ] -> [32]  [20]  [4]  [0]
[       no         ] -> [31]  [22]  [4]  [0]
[      vida        ] -> [103]  [22]  [5]  [0]
[      sofa        ] -> [30]  [22]  [4]  [0]
[       da         ] -> [29]  [20]  [4]  [0]
[      sala        ] -> [28]  [22]  [4]  [0]
[     triste,      ] -> [127]  [20]  [6]  [0]
[        e         ] -> [102]  [20]  [5]  [0]
[      Tive        ] -> [19]  [22]  [4]  [0]
[    visitas;      ] -> [26]  [20]  [4]  [0]
[      este        ] -> [25]  [22]  [4]  [0]
[   porosidade     ] -> [101]  [20]  [5]  [0]
[    orgulho,      ] -> [24]  [20]  [4]  [0]
[      esta        ] -> [23]  [20]  [4]  [0]
[     cabeca       ] -> [22]  [22]  [4]  [0]
[        e         ] -> [100]  [22]  [5]  [0]
[                  ] -> [20]  [20]  [4]  [0]



###################################################

Contagem de comparacoes por execucao do metodo de insercao
Tentativa [x] -> [total] 
Tentativa  [0] -> [4]
Tentativa  [1] -> [7]
Tentativa  [2] -> [10]
Tentativa  [3] -> [13]
Tentativa  [4] -> [16]
Tentativa  [5] -> [19]
Tentativa  [6] -> [22]
Tentativa  [7] -> [25]
Tentativa  [8] -> [28]
Tentativa  [9] -> [31]
Tentativa  [10] -> [34]
Tentativa  [11] -> [37]
Tentativa  [12] -> [40]
Tentativa  [13] -> [43]
Tentativa  [14] -> [46]
Tentativa  [15] -> [49]
Tentativa  [16] -> [52]
Tentativa  [17] -> [55]
Tentativa  [18] -> [58]
Tentativa  [19] -> [61]
Tentativa  [20] -> [64]
Tentativa  [21] -> [67]
Tentativa  [22] -> [70]
Tentativa  [23] -> [73]
Tentativa  [24] -> [76]
Tentativa  [25] -> [79]
Tentativa  [26] -> [82]
Tentativa  [27] -> [85]
Tentativa  [28] -> [88]
Tentativa  [29] -> [91]
Tentativa  [30] -> [94]
Tentativa  [31] -> [97]
Tentativa  [32] -> [100]
Tentativa  [33] -> [103]
Tentativa  [34] -> [106]
Tentativa  [35] -> [109]
Tentativa  [36] -> [112]
Tentativa  [37] -> [115]
Tentativa  [38] -> [118]
Tentativa  [39] -> [121]
Tentativa  [40] -> [124]
Tentativa  [41] -> [127]
Tentativa  [42] -> [130]
Tentativa  [43] -> [133]
Tentativa  [44] -> [136]
Tentativa  [45] -> [139]
Tentativa  [46] -> [142]
Tentativa  [47] -> [145]
Tentativa  [48] -> [148]
Tentativa  [49] -> [151]
Tentativa  [50] -> [154]
Tentativa  [51] -> [157]
Tentativa  [52] -> [160]
Tentativa  [53] -> [163]
Tentativa  [54] -> [166]
Tentativa  [55] -> [169]
Tentativa  [56] -> [172]
Tentativa  [57] -> [175]
Tentativa  [58] -> [178]
Tentativa  [59] -> [181]
Tentativa  [60] -> [184]
Tentativa  [61] -> [187]
Tentativa  [62] -> [190]
Tentativa  [63] -> [193]
Tentativa  [64] -> [196]
Tentativa  [65] -> [199]
Tentativa  [66] -> [202]
Tentativa  [67] -> [205]
Tentativa  [68] -> [208]
Tentativa  [69] -> [211]
Tentativa  [70] -> [214]
Tentativa  [71] -> [217]
Tentativa  [72] -> [220]
Tentativa  [73] -> [223]
Tentativa  [74] -> [226]
Tentativa  [75] -> [229]
Tentativa  [76] -> [232]
Tentativa  [77] -> [235]
Tentativa  [78] -> [238]
Tentativa  [79] -> [241]
Tentativa  [80] -> [244]
Tentativa  [81] -> [247]
Tentativa  [82] -> [250]
Tentativa  [83] -> [253]
Tentativa  [84] -> [256]
Tentativa  [85] -> [259]
Tentativa  [86] -> [262]
Tentativa  [87] -> [265]
Tentativa  [88] -> [268]
Tentativa  [89] -> [271]
Tentativa  [90] -> [274]
Tentativa  [91] -> [277]
Tentativa  [92] -> [280]
Tentativa  [93] -> [283]
Tentativa  [94] -> [286]
Tentativa  [95] -> [289]
Tentativa  [96] -> [292]
Tentativa  [97] -> [295]
Tentativa  [98] -> [298]
Tentativa  [99] -> [301]
Tentativa  [100] -> [304]
Tentativa  [101] -> [307]
Tentativa  [102] -> [310]
Tentativa  [103] -> [313]
Tentativa  [104] -> [316]
Tentativa  [105] -> [319]
Tentativa  [106] -> [322]
Tentativa  [107] -> [325]
Tentativa  [108] -> [328]
Tentativa  [109] -> [331]
Tentativa  [110] -> [334]
Tentativa  [111] -> [337]
Tentativa  [112] -> [340]
Tentativa  [113] -> [343]
Tentativa  [114] -> [346]
Tentativa  [115] -> [349]
Tentativa  [116] -> [352]
Tentativa  [117] -> [355]
Tentativa  [118] -> [358]
Tentativa  [119] -> [361]
Tentativa  [120] -> [364]
Tentativa  [121] -> [367]
Tentativa  [122] -> [370]
Tentativa  [123] -> [373]
Tentativa  [124] -> [376]
Tentativa  [125] -> [379]
Tentativa  [126] -> [382]
Tentativa  [127] -> [385]
Tentativa  [128] -> [388]
Tentativa  [129] -> [391]
Tentativa  [130] -> [394]
Tentativa  [131] -> [397]
Tentativa  [132] -> [400]
Tentativa  [133] -> [403]
Tentativa  [134] -> [406]
Tentativa  [135] -> [409]
Tentativa  [136] -> [412]
Tentativa  [137] -> [415]
Tentativa  [138] -> [418]


Contagem de comparacoes por execucao do metodo de remocao
Tentativa [x] -> [total]  
Tentativa  [0] -> [524]
Tentativa  [1] -> [418]
Tentativa  [2] -> [418]
Tentativa  [3] -> [418]
Tentativa  [4] -> [418]
Tentativa  [5] -> [418]
Tentativa  [6] -> [418]
Tentativa  [7] -> [418]
Tentativa  [8] -> [598]


Contagem de comparacoes por por execucao do metodo de percorrer
Tentativa [x] -> [total]  
Tentativa  [0] -> [1366]


###################################################

Comparacoes na lista [nó] -> [total]  

[     Alguns       ] -> [15]

[      anos        ] -> [15]

[    Itabira.      ] -> [15]

[   orgulhoso:     ] -> [15]

[  comunicacao.    ] -> [15]

[      ouro,       ] -> [15]

[      tive        ] -> [15]

[      gado,       ] -> [15]

[                  ] -> [15]

[      tive        ] -> [15]

[    fazendas.     ] -> [15]

[      Hoje        ] -> [15]

[        A         ] -> [15]

[       sou        ] -> [15]

[   funcionario    ] -> [15]

[    publico.      ] -> [15]

[       de         ] -> [15]

[     vontade      ] -> [14]

[     Itabira      ] -> [14]

[        e         ] -> [14]

[     apenas       ] -> [14]

[       de         ] -> [14]

[       uma        ] -> [14]

[   fotografia     ] -> [14]

[       na         ] -> [14]

[      amar,       ] -> [14]

[     parede.      ] -> [14]

[       Mas        ] -> [14]

[      como        ] -> [14]

[     ferro.       ] -> [15]

[       que        ] -> [15]

[      doi!        ] -> [15]

[       me         ] -> [15]

[    paralisa      ] -> [15]

[ Principalmente   ] -> [15]

[     Noventa      ] -> [15]

[        o         ] -> [15]

[    trabalho,     ] -> [15]

[       vem        ] -> [15]

[       por        ] -> [15]

[       de         ] -> [15]

[    Itabira,      ] -> [15]

[       de         ] -> [15]

[      cento       ] -> [15]

[      suas        ] -> [15]

[     noites       ] -> [15]

[    brancas,      ] -> [15]

[      nasci       ] -> [15]

[       de         ] -> [15]

[       sem        ] -> [14]

[    mulheres      ] -> [14]

[        e         ] -> [14]

[      ferro       ] -> [15]

